material_id,formula,formation_energy_per_atom,band_gap,source
JVASP-143214,Ag3Bi7S12,-0.37136,0.48,JARVIS
JVASP-123314,Ag3Br,0.08679,0.168,JARVIS
JVASP-140480,Ag3CN3O6,-0.12937,2.272,JARVIS
JVASP-123319,Ag3Cl,0.00259,0.69,JARVIS
JVASP-24624,Ag3P11,-0.02047,0.908,JARVIS
JVASP-119667,Ag3PO4,-1.16432,0.745,JARVIS
JVASP-10979,Ag3PS4,-0.19943,1.154,JARVIS
JVASP-5794,Ag3PSe4,-0.06566,0.377,JARVIS
JVASP-29974,Ag3SI,-0.10898,0.253,JARVIS
JVASP-9605,Ag3SbS3,-0.17703,0.958,JARVIS
JVASP-9797,Ag3SeNO3,-0.06542,0.669,JARVIS
JVASP-59049,Ag3SnP7,-0.05737,0.448,JARVIS
JVASP-63826,Ag3Te2Au,-0.03746,0.128,JARVIS
JVASP-120553,Ag4Hg4S4BrCl3,-0.27335,0.984,JARVIS
JVASP-98487,Ag4P2S7,-0.20577,1.619,JARVIS
JVASP-57433,Ag5PS4Cl2,-0.30249,1.35,JARVIS
JVASP-19088,Ag5SbS4,-0.13868,0.712,JARVIS
JVASP-116553,Ag5TePO4,-0.91306,0.338,JARVIS
JVASP-119306,Ag6Mo2ClO7F3,-1.36066,1.58,JARVIS
JVASP-116724,Ag6SbAsS6,-0.15536,0.887,JARVIS
JVASP-22544,AgAsF6,-1.85523,1.434,JARVIS
JVASP-36806,AgAsO2,-0.84872,2.33,JARVIS
JVASP-100136,AgAsO3,-0.92943,0.331,JARVIS
JVASP-117654,AgAsO4,-0.58542,0.954,JARVIS
JVASP-49169,AgAsS2,-0.15836,1.245,JARVIS
JVASP-29621,AgAuCl4,-0.3705,0.559,JARVIS
JVASP-11421,AgAuF4,-1.18862,0.817,JARVIS
JVASP-36772,AgAuO2,-0.24323,0.719,JARVIS
JVASP-43443,AgAuO3,-0.07713,0.306,JARVIS
JVASP-57817,AgBi2S3Cl,-0.49825,0.79,JARVIS
JVASP-56366,AgBi2Se3Cl,-0.45709,0.48,JARVIS
JVASP-140479,AgBi3PbS6,-0.41581,0.416,JARVIS
JVASP-12531,AgBi3S5,-0.39147,0.553,JARVIS
JVASP-13315,AgBiI4,-0.35933,1.03,JARVIS
JVASP-30507,AgBiO2,-0.91121,1.304,JARVIS
JVASP-25879,AgBiP2S6,-0.31011,1.109,JARVIS
JVASP-29572,AgBiP2Se6,-0.16487,1.18,JARVIS
JVASP-100667,AgBiPbS3,-0.39429,0.105,JARVIS
JVASP-8686,AgBiS2,-0.31315,0.559,JARVIS
JVASP-26802,AgBiSCl2,-0.66813,1.093,JARVIS
JVASP-151721,AgBiSe2,-0.29297,0.161,JARVIS
JVASP-134115,AgBr,-0.36408,0.636,JARVIS
JVASP-125179,AgBr3,-0.17235,0.806,JARVIS
JVASP-36827,AgBrO2,-0.08881,0.342,JARVIS
JVASP-102909,AgBrO3,0.10949,2.223,JARVIS
JVASP-30203,AgBrO4,0.25587,0.617,JARVIS
JVASP-85471,AgC2N3,0.38167,3.149,JARVIS
JVASP-153740,AgC4N3,0.47275,3.385,JARVIS
JVASP-138039,AgCN,0.43382,1.883,JARVIS
JVASP-98541,AgCN3O2,0.16914,2.124,JARVIS
JVASP-8113,AgCNO,-0.26677,3.18,JARVIS
JVASP-141700,AgCO2,-0.82452,1.826,JARVIS
JVASP-9757,AgCSN,0.2083,2.464,JARVIS
JVASP-1954,AgCl,-0.47159,0.925,JARVIS
JVASP-114619,AgClO,0.17953,0.657,JARVIS
JVASP-36801,AgClO2,-0.15076,0.701,JARVIS
JVASP-5425,AgClO3,-0.00437,2.556,JARVIS
JVASP-148948,AgClO4,0.05704,2.508,JARVIS
JVASP-127529,AgF3,-0.00721,0.337,JARVIS
JVASP-144709,AgGe2N3,0.15978,0.746,JARVIS
JVASP-80722,AgH,0.23938,0.795,JARVIS
JVASP-138308,AgH3,0.20101,0.431,JARVIS
JVASP-112867,AgH3BrN,-0.35868,2.411,JARVIS
JVASP-51768,AgH4WS4N,-0.43963,1.689,JARVIS
JVASP-25808,AgHg2PO4,-1.14934,1.251,JARVIS
JVASP-45308,AgHg3SbO6,-0.62696,0.727,JARVIS
JVASP-9772,AgHgAsS3,-0.11609,1.161,JARVIS
JVASP-57567,AgHgSBr,-0.20431,1.206,JARVIS
JVASP-57828,AgHgSI,-0.12168,1.16,JARVIS
JVASP-29714,AgI,-0.20681,1.411,JARVIS
JVASP-124449,AgI3,-0.08861,0.377,JARVIS
JVASP-96911,AgIO3,-0.36668,2.244,JARVIS
JVASP-145099,AgMoH4S4N,-0.38004,1.305,JARVIS
JVASP-149904,AgN3,0.59243,1.783,JARVIS
JVASP-96971,AgN3O4,0.04508,1.624,JARVIS
JVASP-138465,AgNO2,-0.16342,1.187,JARVIS
JVASP-151446,AgNO3,-0.28604,1.709,JARVIS
JVASP-9086,AgO,-0.19831,0.192,JARVIS
JVASP-10216,AgP2,-0.00542,0.672,JARVIS
JVASP-8803,AgPF6,-2.19843,3.047,JARVIS
JVASP-43369,AgPO3,-1.60073,2.138,JARVIS
JVASP-114759,AgPO4,-1.29056,0.549,JARVIS
JVASP-9718,AgPS3,-0.1874,1.354,JARVIS
JVASP-34393,AgPXe2F10,-1.55713,0.781,JARVIS
JVASP-54582,AgPb2Br5,-0.80507,1.907,JARVIS
JVASP-29496,AgPb4ClO4,-1.0934,2.39,JARVIS
JVASP-29470,AgPbBrO,-0.72134,0.21,JARVIS
JVASP-110084,AgPbF6,-1.66994,0.253,JARVIS
JVASP-36804,AgPbO2,-0.74404,0.285,JARVIS
JVASP-36792,AgPtO2,-0.46076,0.457,JARVIS
JVASP-35694,AgRhO2,-0.69988,0.734,JARVIS
JVASP-135909,AgSCl,0.90672,0.419,JARVIS
JVASP-11211,AgSb2F12,-2.07728,0.535,JARVIS
JVASP-98876,AgSbC6N4O2F6,-0.6848,1.498,JARVIS
JVASP-20879,AgSbF6,-2.07671,1.337,JARVIS
JVASP-88674,AgSbO3,-1.09048,0.221,JARVIS
JVASP-107368,AgSbPb2S4,-0.39182,0.147,JARVIS
JVASP-91497,AgSbPbS3,-0.36765,1.076,JARVIS
JVASP-9447,AgSbS2,-0.2558,1.246,JARVIS
JVASP-150048,AgSnF6,-2.0209,0.385,JARVIS
JVASP-56505,AgTe3I,-0.06997,0.879,JARVIS
JVASP-29471,AgTeNO5,-0.60161,1.91,JARVIS
JVASP-57176,AgTeO3,-0.80013,1.151,JARVIS
JVASP-13412,AgXeF9,-0.66859,1.438,JARVIS
JVASP-49701,Al2BiS4,-1.01267,2.642,JARVIS
JVASP-49700,Al2BiSe4,-0.7924,2.325,JARVIS
JVASP-44489,Al2CO,-1.47138,2.969,JARVIS
JVASP-87857,Al2Cd3Si3O12,-2.5414,3.244,JARVIS
JVASP-13341,Al2CdO4,-2.67653,2.978,JARVIS
JVASP-2481,Al2CdS4,-1.10629,2.864,JARVIS
JVASP-2211,Al2CdSe4,-0.86774,2.094,JARVIS
JVASP-2670,Al2CdTe4,-0.49783,1.669,JARVIS
JVASP-13329,Al2CoO4,-2.59261,0.743,JARVIS
JVASP-132945,Al2Cr3CuS8,-0.92238,0.304,JARVIS
JVASP-31918,Al2CrCl8,-1.40847,0.689,JARVIS
JVASP-55661,Al2CuCl8,-1.28375,0.557,JARVIS
JVASP-12985,Al2Fe3Si3,-0.438,0.248,JARVIS
JVASP-11602,Al2FeO4,-2.54274,0.114,JARVIS
JVASP-94886,Al2FeS4,-0.93046,0.594,JARVIS
JVASP-50439,Al2HgO4,-2.34016,1.507,JARVIS
JVASP-2661,Al2HgS4,-0.90854,2.075,JARVIS
JVASP-2205,Al2HgSe4,-0.69738,1.462,JARVIS
JVASP-2673,Al2HgTe4,-0.36632,1.116,JARVIS
JVASP-133533,Al2InN3,-1.08985,2.407,JARVIS
JVASP-141507,Al2Ni2O7,-1.78514,0.997,JARVIS
JVASP-32930,Al2NiCl8,-1.30804,1.24,JARVIS
JVASP-13366,Al2NiO4,-2.5566,0.861,JARVIS
JVASP-85600,Al2O3,-2.58725,1.213,JARVIS
JVASP-1540,Al2Os,-0.58309,0.368,JARVIS
JVASP-146658,Al2P3S9,-0.58027,2.196,JARVIS
JVASP-53503,Al2PbSe4,-0.84951,2.091,JARVIS
JVASP-32248,Al2PdCl8,-1.25883,1.333,JARVIS
JVASP-7681,Al2Ru,-0.6979,0.121,JARVIS
JVASP-101746,Al2S3,-1.23237,2.862,JARVIS
JVASP-113687,Al2SO2,-2.28924,0.931,JARVIS
JVASP-19266,Al2Sb2O7,-1.6363,0.172,JARVIS
JVASP-10862,Al2Se3,-0.92622,1.945,JARVIS
JVASP-19269,Al2Sn2O7,-1.92225,1.32,JARVIS
JVASP-5677,Al2Te3,-0.48681,1.776,JARVIS
JVASP-2931,Al2Te5,-0.35621,1.055,JARVIS
JVASP-32751,Al2VCl8,-1.48104,1.651,JARVIS
JVASP-147348,Al2Zn2S5,-1.08524,2.947,JARVIS
JVASP-146505,Al2Zn3N4,-0.56022,1.14,JARVIS
JVASP-145450,Al2Zn3S6,-1.03479,2.544,JARVIS
JVASP-9688,Al2ZnS4,-1.1657,2.6,JARVIS
JVASP-108162,Al2ZnSe2S2,-0.98088,1.814,JARVIS
JVASP-2664,Al2ZnSe4,-0.89915,2.293,JARVIS
JVASP-2667,Al2ZnTe4,-0.50712,1.699,JARVIS
JVASP-102349,Al3BC,-0.21259,0.645,JARVIS
JVASP-33078,Al3Bi5Br12,-0.83373,1.617,JARVIS
JVASP-97524,Al3Bi5Cl12,-1.16471,1.776,JARVIS
JVASP-47712,Al3CrO6,-2.99491,1.904,JARVIS
JVASP-121236,Al3P,-0.06386,0.255,JARVIS
JVASP-5566,Al3Te3I,-0.53207,1.956,JARVIS
JVASP-23918,Al4Bi2O9,-2.68235,2.843,JARVIS
JVASP-2145,Al4C3,-0.24388,1.527,JARVIS
JVASP-10722,Al4CN3O,-0.83776,0.286,JARVIS
JVASP-147273,Al4CdO7,-2.93782,3.065,JARVIS
JVASP-96985,Al4CoB2O10,-2.79376,0.352,JARVIS
JVASP-101747,Al4GaSb5,-0.2294,0.844,JARVIS
JVASP-121643,Al4InAgS8,-0.96621,1.196,JARVIS
JVASP-144376,Al4InAgSe8,-0.79311,0.683,JARVIS
JVASP-112381,Al4InAgTe8,-0.43509,0.396,JARVIS
JVASP-145448,Al4InCuS8,-1.01793,1.037,JARVIS
JVASP-140471,Al5AgS8,-1.10146,1.386,JARVIS
JVASP-9720,Al5C3N,-0.50845,1.659,JARVIS
JVASP-13290,Al5CuS8,-1.16023,1.585,JARVIS
JVASP-13358,Al5CuSe8,-0.83512,0.735,JARVIS
JVASP-57863,Al6C3N2,-0.66189,0.101,JARVIS
JVASP-45367,Al6Cd4SO12,-2.5203,2.82,JARVIS
JVASP-45379,Al6Cd4TeO12,-2.50682,2.631,JARVIS
JVASP-137360,Al6Cu2B4O17,-2.67144,0.415,JARVIS
JVASP-145472,Al6W5N16,-0.7153,0.986,JARVIS
JVASP-142805,Al9CrB2O18,-3.08705,2.296,JARVIS
JVASP-3027,AlAgO2,-2.19288,1.666,JARVIS
JVASP-111110,AlAgP2Se6,-0.31073,0.945,JARVIS
JVASP-2463,AlAgS2,-0.86977,1.977,JARVIS
JVASP-138068,AlAgSe,-0.0621,0.912,JARVIS
JVASP-3285,AlAgSe2,-0.6495,1.219,JARVIS
JVASP-3288,AlAgTe2,-0.36204,1.074,JARVIS
JVASP-120123,AlAs,-0.58352,1.568,JARVIS
JVASP-120122,AlAsO4,-2.13813,1.174,JARVIS
JVASP-7838,AlAuO2,-2.10329,0.782,JARVIS
JVASP-125090,AlB11,0.19153,1.424,JARVIS
JVASP-114887,AlBN2,-1.15233,3.242,JARVIS
JVASP-114892,AlBO,1.77225,0.68,JARVIS
JVASP-91482,AlBPbO4,-2.52882,2.916,JARVIS
JVASP-147504,AlBi2Se2BrCl4,-1.03841,1.279,JARVIS
JVASP-144716,AlBi3O9,-1.24836,0.185,JARVIS
JVASP-13155,AlBiBr6,-0.94691,2.579,JARVIS
JVASP-34269,AlBiO3,-2.32721,2.917,JARVIS
JVASP-32680,AlBiSCl4,-1.2239,2.879,JARVIS
JVASP-33040,AlBiSeCl4,-1.21162,2.625,JARVIS
JVASP-136585,AlBr,-0.59312,0.75,JARVIS
JVASP-136584,AlBr3,-1.14009,2.881,JARVIS
JVASP-136670,AlCl,-0.89251,0.686,JARVIS
JVASP-142208,AlCl3O6,-0.57306,2.462,JARVIS
JVASP-138968,AlClO,-1.93652,1.56,JARVIS
JVASP-138971,AlClO3,-0.07275,2.113,JARVIS
JVASP-47528,AlCo2O4,-1.88025,0.128,JARVIS
JVASP-103739,AlCoF5,-2.87602,0.184,JARVIS
JVASP-99739,AlCoO3,-2.18734,1.155,JARVIS
JVASP-113123,AlCr4AgS8,-0.80802,0.255,JARVIS
JVASP-116114,AlCrO2,-1.94106,0.139,JARVIS
JVASP-49633,AlCrO3,-2.53158,0.654,JARVIS
JVASP-46446,AlCrO4,-2.42433,0.213,JARVIS
JVASP-151746,AlCuBr4,-0.91701,2.176,JARVIS
JVASP-24653,AlCuCl4,-1.23302,2.742,JARVIS
JVASP-88723,AlCuH28S2ClO22,-1.14791,0.946,JARVIS
JVASP-8259,AlCuO2,-2.3055,2.088,JARVIS
JVASP-43448,AlCuO3,-1.85928,0.339,JARVIS
JVASP-110613,AlCuP2Se6,-0.28913,1.235,JARVIS
JVASP-8370,AlCuS2,-0.94349,1.896,JARVIS
JVASP-2724,AlCuSe2,-0.68207,1.069,JARVIS
JVASP-119666,AlCuSnS4,-0.7334,0.514,JARVIS
JVASP-108810,AlCuSnSe4,-0.54807,0.37,JARVIS
JVASP-2727,AlCuTe2,-0.36997,1.102,JARVIS
JVASP-137789,AlF,-1.7748,1.096,JARVIS
JVASP-103746,AlFeF5,-2.99457,0.363,JARVIS
JVASP-122382,AlFeO3,-2.23634,0.243,JARVIS
JVASP-35109,AlGa3N4,-0.8325,2.42,JARVIS
JVASP-106381,AlGaAs2,-0.4526,0.651,JARVIS
JVASP-109797,AlGaCu2Se4,-0.59142,0.397,JARVIS
JVASP-104766,AlGaN2,-1.11182,2.776,JARVIS
JVASP-50544,AlGaO3,-2.56215,2.811,JARVIS
JVASP-101897,AlH16C10ClO4,-0.49476,3.343,JARVIS
JVASP-3717,AlH3,-0.10201,2.464,JARVIS
JVASP-113650,AlHO,-1.29161,3.401,JARVIS
JVASP-113647,AlHO2,-1.60623,1.769,JARVIS
JVASP-136879,AlI,0.19395,0.242,JARVIS
JVASP-136886,AlI3,-0.67911,2.034,JARVIS
JVASP-26756,AlI3O9,-0.9349,3.309,JARVIS
JVASP-13789,AlICl6,-0.88947,2.134,JARVIS
JVASP-143753,AlIO,-2.0925,1.668,JARVIS
JVASP-111849,AlIn2N3,-0.53307,1.087,JARVIS
JVASP-100434,AlInAg2S4,-0.66225,1.061,JARVIS
JVASP-100042,AlInAg2Se4,-0.51398,0.499,JARVIS
JVASP-145816,AlInBr4,-1.09254,3.339,JARVIS
JVASP-106852,AlInCu2Se4,-0.56277,0.192,JARVIS
JVASP-148329,AlInN2,-0.81448,1.585,JARVIS
JVASP-135265,AlInO,0.76627,0.544,JARVIS
JVASP-50935,AlInO3,-2.48756,2.464,JARVIS
JVASP-103127,AlInSb2,-0.15849,0.242,JARVIS
JVASP-30708,AlMo3F15,-2.57555,0.604,JARVIS
JVASP-137888,AlN,-1.08133,1.606,JARVIS
JVASP-118633,AlN3,0.06522,0.859,JARVIS
JVASP-138961,AlNCl4,-0.17332,0.802,JARVIS
JVASP-121176,AlNO2,-1.08919,1.165,JARVIS
JVASP-133388,AlNiAg2F7,-2.2483,1.162,JARVIS
JVASP-104983,AlNiF5,-2.83603,0.476,JARVIS
JVASP-105710,AlO2,-2.49838,0.272,JARVIS
JVASP-94961,AlO3F3,-0.76694,0.479,JARVIS
JVASP-139149,AlOF,-2.9872,3.295,JARVIS
JVASP-1327,AlP,-0.75173,1.794,JARVIS
JVASP-113673,AlPO,0.97014,0.45,JARVIS
JVASP-85370,AlPO4,-2.50004,3.257,JARVIS
JVASP-135458,AlPS4,-0.63971,2.224,JARVIS
JVASP-100431,AlReSi,-0.40746,0.521,JARVIS
JVASP-99596,AlRhO3,-2.06147,1.77,JARVIS
JVASP-139544,AlS,-0.89217,1.272,JARVIS
JVASP-138986,AlSCl,-1.21715,0.474,JARVIS
JVASP-26735,AlSCl7,-0.83457,2.691,JARVIS
JVASP-144332,AlSNCl3,-0.92576,2.441,JARVIS
JVASP-1408,AlSb,-0.24311,1.322,JARVIS
JVASP-5461,AlSbI6,-0.50189,1.935,JARVIS
JVASP-113692,AlSbO3,-2.11262,1.556,JARVIS
JVASP-53148,AlSbO4,-2.27588,1.768,JARVIS
JVASP-137057,AlSe,-0.76645,1.352,JARVIS
JVASP-136536,AlSeBr,-0.10016,0.573,JARVIS
JVASP-95088,AlSeBr3N,-0.59899,1.797,JARVIS
JVASP-5656,AlSeBr7,-0.60434,2.135,JARVIS
JVASP-132837,AlSi3AgO8,-2.65534,2.945,JARVIS
JVASP-21270,AlSiP3,-0.36776,0.362,JARVIS
JVASP-150695,AlSiTe3,-0.27977,1.101,JARVIS
JVASP-146881,AlSn3Se2ClO8,-1.40147,2.264,JARVIS
JVASP-135596,AlTe,-0.35359,0.741,JARVIS
JVASP-101374,AlTeCl7,-1.04235,3.162,JARVIS
JVASP-5653,AlTeI7,-0.35669,1.774,JARVIS
JVASP-139162,AlTlF2,-1.91258,0.627,JARVIS
JVASP-54370,AlTlI4,-0.72644,3.327,JARVIS
JVASP-139481,AlTlO,-0.21152,0.572,JARVIS
JVASP-149691,AlTlO2,-2.29836,2.224,JARVIS
JVASP-46018,AlTlO3,-1.99542,0.836,JARVIS
JVASP-155488,AlTlS2,-0.97787,1.049,JARVIS
JVASP-8210,AlTlSe2,-0.81023,0.674,JARVIS
JVASP-35643,AlV2O4,-2.67307,0.215,JARVIS
JVASP-107383,AlVF5,-3.23268,1.001,JARVIS
JVASP-43380,AlVO3,-2.75027,0.248,JARVIS
JVASP-62342,AlVO4,-2.8188,2.96,JARVIS
JVASP-59596,AlWO4,-2.79532,1.212,JARVIS
JVASP-145726,AlZn2SbH12O12,-1.35704,2.455,JARVIS
JVASP-140896,AlZnCrS4,-1.00076,0.776,JARVIS
JVASP-125001,Ar3As,0.76521,1.288,JARVIS
JVASP-125005,Ar3Be,0.8284,2.859,JARVIS
JVASP-125006,Ar3Bi,0.68612,0.711,JARVIS
JVASP-125014,Ar3Cr,1.04019,0.313,JARVIS
JVASP-125027,Ar3Hf,1.56663,0.178,JARVIS
JVASP-125038,Ar3Mg,0.3118,2.282,JARVIS
JVASP-125039,Ar3Mn,1.0077,0.264,JARVIS
JVASP-125040,Ar3Mo,1.62904,0.588,JARVIS
JVASP-125049,Ar3P,0.86852,1.662,JARVIS
JVASP-125060,Ar3Re,1.96386,0.752,JARVIS
JVASP-125065,Ar3Sb,0.7124,0.855,JARVIS
JVASP-125071,Ar3Sr,0.39853,0.966,JARVIS
JVASP-127531,ArF3,0.22529,0.682,JARVIS
JVASP-126712,ArZn,0.39918,0.554,JARVIS
JVASP-25627,As2Cl3OF5,-1.45662,3.273,JARVIS
JVASP-11398,As2Ir,-0.44013,0.845,JARVIS
JVASP-143108,As2O3,-1.26932,3.374,JARVIS
JVASP-18981,As2O5,-1.10433,1.731,JARVIS
JVASP-2181,As2Os,-0.19168,0.614,JARVIS
JVASP-95403,As2Pb3O8,-1.40456,3.492,JARVIS
JVASP-32676,As2Pb4S6ICl,-0.54095,1.801,JARVIS
JVASP-97817,As2PbO4,-1.34349,2.809,JARVIS
JVASP-62345,As2PbO6,-1.34689,2.27,JARVIS
JVASP-15695,As2PdO6,-0.9925,0.172,JARVIS
JVASP-11414,As2Rh,-0.46982,0.229,JARVIS
JVASP-2121,As2Ru,-0.34808,0.567,JARVIS
JVASP-14163,As2S3,-0.14267,2.058,JARVIS
JVASP-151354,As2Se3,-0.1393,0.583,JARVIS
JVASP-119218,As2SeS2,-0.14638,0.922,JARVIS
JVASP-121289,As3H,0.16023,0.539,JARVIS
JVASP-12758,As3H5O10,-1.07804,3.205,JARVIS
JVASP-98588,As3HO6,-1.13943,3.063,JARVIS
JVASP-5362,As4S3,-0.10895,1.808,JARVIS
JVASP-9158,As4S5,-0.15308,1.591,JARVIS
JVASP-61044,As4Se3,-0.03845,1.226,JARVIS
JVASP-5833,As8S9,-0.15341,1.504,JARVIS
JVASP-121274,AsBr,0.9558,1.366,JARVIS
JVASP-4255,AsBr3,-0.43159,2.854,JARVIS
JVASP-120368,AsC,0.76617,0.243,JARVIS
JVASP-144634,AsC2S3NF8,-1.23144,0.848,JARVIS
JVASP-63832,AsCF3,-1.1974,3.258,JARVIS
JVASP-97420,AsCS3N2F11,-1.28957,3.276,JARVIS
JVASP-55665,AsCl2F3,-1.45759,2.928,JARVIS
JVASP-137167,AsCl3,-0.26199,0.122,JARVIS
JVASP-13808,AsCl3O,-0.61765,2.326,JARVIS
JVASP-5770,AsCl5,-0.39085,1.016,JARVIS
JVASP-139670,AsClF,0.7773,0.112,JARVIS
JVASP-98719,AsClF8,-1.52764,3.374,JARVIS
JVASP-135657,AsHO,1.12093,0.269,JARVIS
JVASP-112710,AsHPbO4,-1.31341,2.912,JARVIS
JVASP-118877,AsI,-0.03916,0.51,JARVIS
JVASP-25000,AsI2F6,-1.63912,0.509,JARVIS
JVASP-3636,AsI3,-0.19585,2.016,JARVIS
JVASP-32247,AsI3F6,-1.46971,1.169,JARVIS
JVASP-91433,AsIF12,-1.65059,0.876,JARVIS
JVASP-116440,AsN,0.12855,1.04,JARVIS
JVASP-115425,AsN3,0.48155,0.615,JARVIS
JVASP-115407,AsNF,0.73861,0.582,JARVIS
JVASP-115406,AsNF2,-0.50771,0.803,JARVIS
JVASP-91637,AsNF6,-0.96825,0.647,JARVIS
JVASP-116435,AsNO,-0.09909,1.905,JARVIS
JVASP-101539,AsNO2F6,-1.5131,3.241,JARVIS
JVASP-116436,AsNO4,-0.12974,2.017,JARVIS
JVASP-114425,AsOF,-1.39158,1.562,JARVIS
JVASP-117363,AsOsS,-0.37918,1.158,JARVIS
JVASP-98455,AsPO5,-1.63714,2.236,JARVIS
JVASP-141383,AsPb2S3I,-0.49307,1.815,JARVIS
JVASP-117230,AsRhS,-0.65314,1.108,JARVIS
JVASP-147349,AsRhSe,-0.56703,0.822,JARVIS
JVASP-112608,AsRuS,-0.52828,0.892,JARVIS
JVASP-146677,AsRuSe,-0.40188,0.662,JARVIS
JVASP-26248,AsS,-0.15399,1.501,JARVIS
JVASP-59112,AsS24I3,-0.04003,1.913,JARVIS
JVASP-10253,AsS2NF6,-1.45567,2.444,JARVIS
JVASP-132434,AsS31,0.01703,0.582,JARVIS
JVASP-88465,AsS3N2F6,-1.12871,0.438,JARVIS
JVASP-63490,AsSe,-0.07244,1.081,JARVIS
JVASP-118867,AsSeI,-0.18913,1.082,JARVIS
JVASP-113042,AsXe2OF10,-0.99997,0.292,JARVIS
JVASP-12739,Au2O3,-0.17635,0.973,JARVIS
JVASP-2130,Au2S,-0.04796,2.149,JARVIS
JVASP-12091,Au2Se2O7,-0.49098,1.267,JARVIS
JVASP-60621,Au3F8,-1.03299,0.555,JARVIS
JVASP-12103,AuBr,-0.08848,1.504,JARVIS
JVASP-125183,AuBr3,-0.06429,0.638,JARVIS
JVASP-13085,AuBrF6,-1.00443,1.927,JARVIS
JVASP-30512,AuBrO2,0.00331,0.678,JARVIS
JVASP-86596,AuCClO,-0.44892,2.542,JARVIS
JVASP-120392,AuCN,0.33725,1.105,JARVIS
JVASP-62413,AuCS2Cl3,-0.08912,1.838,JARVIS
JVASP-4173,AuCl,-0.18569,1.73,JARVIS
JVASP-88679,AuCl2,-0.24143,0.742,JARVIS
JVASP-4252,AuCl3,-0.24656,1.118,JARVIS
JVASP-12742,AuClO,-0.2314,1.099,JARVIS
JVASP-36825,AuClO2,-0.06061,0.778,JARVIS
JVASP-95642,AuF3,-1.04575,1.502,JARVIS
JVASP-31824,AuF5,-0.83336,0.824,JARVIS
JVASP-3849,AuI,-0.02297,1.404,JARVIS
JVASP-124453,AuI3,-0.02775,0.272,JARVIS
JVASP-88689,AuN5O14,-0.18028,1.722,JARVIS
JVASP-30510,AuO2F,-0.36902,0.884,JARVIS
JVASP-102444,AuO2F6,-0.7101,0.412,JARVIS
JVASP-121300,AuOF,1.54419,0.368,JARVIS
JVASP-5470,AuSCl5,-0.24043,1.736,JARVIS
