material_id,formula,formation_energy_per_atom,band_gap,exfol_en,dimensionality,source
JVASP-137843,AlF2,-2.62484,0.0,,2D-bulk,JARVIS_layered
JVASP-28392,SiO2,-2.59855,5.116,,2D-bulk,JARVIS_layered
JVASP-141413,Sr2Pr2PtO6,-2.59415,0.771,,2D-bulk,JARVIS_layered
JVASP-30708,AlMo3F15,-2.57555,0.604,,2D-bulk,JARVIS_layered
JVASP-10922,MgV2O5,-2.56202,0.46,,2D-bulk,JARVIS_layered
JVASP-12170,WO2F2,-2.55967,2.437,,2D-bulk,JARVIS_layered
JVASP-138975,AlClO,-2.55587,5.722,,2D-bulk,JARVIS_layered
JVASP-148196,YbBeNF6,-2.55258,1.89,,2D-bulk,JARVIS_layered
JVASP-30046,BiF3,-2.55094,5.333,,2D-bulk,JARVIS_layered
JVASP-144814,Ta2Mo2O11,-2.54872,2.615,,2D-bulk,JARVIS_layered
JVASP-151303,ZrMo2O8,-2.54544,3.022,,2D-bulk,JARVIS_layered
JVASP-13093,Mg5H2O6,-2.54409,4.264,18.41,2D-bulk,JARVIS_layered
JVASP-30186,TiSnO3,-2.52332,1.275,35.87,2D-bulk,JARVIS_layered
JVASP-136598,NbOF,-2.52329,0.0,,2D-bulk,JARVIS_layered
JVASP-30264,VO2F,-2.51517,2.575,,2D-bulk,JARVIS_layered
JVASP-118325,TaOF,-2.51181,0.0,,2D-bulk,JARVIS_layered
JVASP-146320,BiBOF4,-2.50973,3.248,,2D-bulk,JARVIS_layered
JVASP-100791,Th2PNO,-2.50636,1.363,,2D-bulk,JARVIS_layered
JVASP-9489,MgNiF5,-2.50556,0.202,,2D-bulk,JARVIS_layered
JVASP-14282,Sn3F8,-2.49727,3.306,,2D-bulk,JARVIS_layered
JVASP-142440,KLaCO4,-2.49696,3.888,,2D-bulk,JARVIS_layered
JVASP-115225,MgO,-2.48472,2.252,,2D-bulk,JARVIS_layered
JVASP-30700,YBi3F15,-2.47955,0.667,,2D-bulk,JARVIS_layered
JVASP-51077,Sr2FeClO3,-2.47478,0.0,34.5,intercalated ion,JARVIS_layered
JVASP-29869,AlHO2,-2.4744,5.614,,2D-bulk,JARVIS_layered
JVASP-13094,Mg4H2O5,-2.46571,4.547,26.39,2D-bulk,JARVIS_layered
JVASP-12074,TiClO,-2.46178,0.0,41.29,2D-bulk,JARVIS_layered
JVASP-9181,BaV4O8,-2.45408,0.0,32.97,intercalated ion,JARVIS_layered
JVASP-134565,TaClO2,-2.45009,2.93,,2D-bulk,JARVIS_layered
JVASP-30404,TiGeO3,-2.4477,1.238,34.59,2D-bulk,JARVIS_layered
JVASP-12342,SnPbF4,-2.44537,3.541,,2D-bulk,JARVIS_layered
JVASP-2196,SnF4,-2.44524,3.159,107.37,2D-bulk,JARVIS_layered
JVASP-11333,MnZnF5,-2.43111,0.093,,2D-bulk,JARVIS_layered
JVASP-30598,MoF4,-2.42603,0.575,,2D-bulk,JARVIS_layered
JVASP-30720,TiW2O8,-2.42504,1.087,,2D-bulk,JARVIS_layered
JVASP-30660,Ta2MoO8,-2.41829,0.842,,2D-bulk,JARVIS_layered
JVASP-8689,UCO5,-2.41607,2.48,76.85,2D-bulk,JARVIS_layered
JVASP-118446,LaHO,-2.4074,3.152,,2D-bulk,JARVIS_layered
JVASP-30380,NbV3O10,-2.40615,1.065,,2D-bulk,JARVIS_layered
JVASP-142566,V2O5,-2.40265,1.62,,2D-bulk,JARVIS_layered
JVASP-30541,V4O9,-2.40171,0.0,,2D-bulk,JARVIS_layered
JVASP-116337,MnF3,-2.40037,0.0,,2D-bulk,JARVIS_layered
JVASP-26626,Ba2InBrO3,-2.39588,2.043,36.44,intercalated ion,JARVIS_layered
JVASP-9496,Sr2MnSO3,-2.38985,0.0,52.75,intercalated ion,JARVIS_layered
JVASP-30314,Si3Sb2O9,-2.38954,4.23,,2D-bulk,JARVIS_layered
JVASP-12128,Sr2FeBrO3,-2.38774,0.0,23.59,intercalated ion,JARVIS_layered
JVASP-120186,YSnF2,-2.38568,0.0,,2D-bulk,JARVIS_layered
JVASP-30273,Mn3F8,-2.38303,0.0,,2D-bulk,JARVIS_layered
JVASP-116257,MgAlO2,-2.38215,0.0,,2D-bulk,JARVIS_layered
JVASP-112430,CrOF,-2.38014,0.727,,2D-bulk,JARVIS_layered
JVASP-60632,Mg3Si2H4O9,-2.37886,4.406,,2D-bulk,JARVIS_layered
JVASP-33066,AlH2PbO2F3,-2.37695,4.682,,2D-bulk,JARVIS_layered
JVASP-8587,TbCl3,-2.37632,3.581,82.34,2D-bulk,JARVIS_layered
JVASP-3987,DyCl3,-2.36916,3.605,81.4,2D-bulk,JARVIS_layered
JVASP-30683,Nb2WO8,-2.36838,0.282,,2D-bulk,JARVIS_layered
JVASP-85573,VO2,-2.36793,0.1,,2D-bulk,JARVIS_layered
JVASP-93395,AlO2,-2.36535,0.0,,2D-bulk,JARVIS_layered
JVASP-3810,YCl3,-2.36393,4.565,68.89,2D-bulk,JARVIS_layered
JVASP-87318,Al2Si2H4O9,-2.36266,5.132,,2D-bulk,JARVIS_layered
JVASP-53414,TlBiF4,-2.35844,3.882,,2D-bulk,JARVIS_layered
JVASP-12627,Sr3Fe2Cl2O5,-2.35522,0.0,40.12,intercalated ion,JARVIS_layered
JVASP-13095,Mg3H2O4,-2.34471,4.25,29.35,2D-bulk,JARVIS_layered
JVASP-25690,NpIO,-2.3426,0.0,52.29,2D-bulk,JARVIS_layered
JVASP-30242,VPO5,-2.34159,1.864,,2D-bulk,JARVIS_layered
JVASP-100331,TiBi2O4F2,-2.3385,1.381,,2D-bulk,JARVIS_layered
JVASP-30750,MgTiGe2O6,-2.33821,1.943,,2D-bulk,JARVIS_layered
JVASP-118482,ScHO,-2.33811,2.178,,2D-bulk,JARVIS_layered
JVASP-8420,BaYCuWO5,-2.33613,0.0,,2D-bulk,JARVIS_layered
JVASP-30620,Ti3AlSe2ClO8,-2.32891,0.747,,2D-bulk,JARVIS_layered
JVASP-26529,CrF2,-2.32771,0.554,138.58,2D-bulk,JARVIS_layered
JVASP-8400,BaYCuSnO5,-2.32642,0.0,,2D-bulk,JARVIS_layered
JVASP-30358,TiV2CrO10,-2.32368,1.26,,2D-bulk,JARVIS_layered
JVASP-30500,ScClO,-2.32055,2.669,,2D-bulk,JARVIS_layered
JVASP-30618,WF4,-2.31913,0.13,,2D-bulk,JARVIS_layered
JVASP-98535,Ti3Bi4O12,-2.31537,2.317,,2D-bulk,JARVIS_layered
JVASP-18420,NbO2,-2.31287,0.0,,2D-bulk,JARVIS_layered
JVASP-9479,ZnMoF5,-2.31074,1.093,,2D-bulk,JARVIS_layered
JVASP-3936,ThNCl,-2.30638,2.542,122.63,2D-bulk,JARVIS_layered
JVASP-30681,Nb2MoO8,-2.30017,1.4,,2D-bulk,JARVIS_layered
JVASP-3825,ErSCl,-2.29765,2.844,65.08,2D-bulk,JARVIS_layered
JVASP-24282,CdB2XeF10,-2.29534,2.753,,2D-bulk,JARVIS_layered
JVASP-113687,Al2SO2,-2.28924,0.931,,2D-bulk,JARVIS_layered
JVASP-102840,MnF4,-2.28572,0.049,,2D-bulk,JARVIS_layered
JVASP-8361,WF5,-2.28038,3.002,,2D-bulk,JARVIS_layered
JVASP-119292,VMoO5,-2.27871,0.119,,2D-bulk,JARVIS_layered
JVASP-117413,Mn2OF4,-2.27479,0.0,,2D-bulk,JARVIS_layered
JVASP-11999,TiBrO,-2.27384,0.0,43.11,2D-bulk,JARVIS_layered
JVASP-135030,ZrHO2,-2.27337,0.0,,2D-bulk,JARVIS_layered
JVASP-114008,ZrBO4,-2.27155,0.0,,2D-bulk,JARVIS_layered
JVASP-9949,MoF5,-2.2709,0.0,,2D-bulk,JARVIS_layered
JVASP-44082,LiFe2F5,-2.26851,0.078,,2D-bulk,JARVIS_layered
JVASP-47731,Li2P2WO8,-2.26811,0.353,,2D-bulk,JARVIS_layered
JVASP-8744,USb2O6,-2.26805,1.422,,2D-bulk,JARVIS_layered
JVASP-29370,YbClO,-2.26123,0.0,45.65,2D-bulk,JARVIS_layered
JVASP-29311,UH2O4,-2.25082,2.632,,2D-bulk,JARVIS_layered
JVASP-85506,Si2H2O5,-2.23539,5.696,,2D-bulk,JARVIS_layered
JVASP-11523,SbF4,-2.22985,2.438,,2D-bulk,JARVIS_layered
JVASP-29908,ZrP2H2O6,-2.22883,4.505,,2D-bulk,JARVIS_layered
JVASP-138196,MgF,-2.22088,0.0,,2D-bulk,JARVIS_layered
JVASP-9505,Sr2FeSO3,-2.22008,0.0,50.3,intercalated ion,JARVIS_layered
JVASP-151868,KLaPdO3,-2.21959,0.391,,2D-bulk,JARVIS_layered
JVASP-151707,ErH2ClO2,-2.21855,4.683,,2D-bulk,JARVIS_layered
JVASP-115301,YPbO2,-2.21829,0.0,,2D-bulk,JARVIS_layered
JVASP-30479,LuH2ClO2,-2.21786,4.853,91.38,2D-bulk,JARVIS_layered
JVASP-152478,DyH2ClO2,-2.21503,4.654,,2D-bulk,JARVIS_layered
JVASP-60751,P2WO8,-2.21357,2.025,,2D-bulk,JARVIS_layered
JVASP-9343,VW2O8,-2.21301,0.0,,2D-bulk,JARVIS_layered
JVASP-30481,HoH2ClO2,-2.2124,4.694,,2D-bulk,JARVIS_layered
JVASP-146954,TbH2ClO2,-2.21209,4.704,,2D-bulk,JARVIS_layered
JVASP-153908,PbF3,-2.2032,1.842,,2D-bulk,JARVIS_layered
JVASP-138631,NbClO2,-2.20165,2.543,,2D-bulk,JARVIS_layered
JVASP-3654,ScCl3,-2.20059,3.535,69.31,2D-bulk,JARVIS_layered
JVASP-115351,YSnO2,-2.1977,0.0,,2D-bulk,JARVIS_layered
JVASP-13815,MgGeO3,-2.19738,2.734,,2D-bulk,JARVIS_layered
JVASP-114825,CrHF4,-2.19525,1.424,,2D-bulk,JARVIS_layered
JVASP-135274,LaCl3,-2.19105,2.855,,2D-bulk,JARVIS_layered
JVASP-135029,ZrH2O3,-2.18772,2.529,,2D-bulk,JARVIS_layered
JVASP-30213,SmH2ClO2,-2.18757,4.695,105.41,2D-bulk,JARVIS_layered
JVASP-15129,UTeO,-2.18745,0.0,72.84,2D-bulk,JARVIS_layered
JVASP-120181,TlSnF3,-2.18523,2.773,,2D-bulk,JARVIS_layered
JVASP-29728,YbBrO,-2.18213,0.0,38.76,2D-bulk,JARVIS_layered
JVASP-29245,USeO5,-2.17306,2.019,,2D-bulk,JARVIS_layered
JVASP-12114,SnPO3F,-2.16906,3.617,,2D-bulk,JARVIS_layered
JVASP-30375,TiMn2O6,-2.16877,0.936,,2D-bulk,JARVIS_layered
JVASP-144439,Li3Mn4B4O12,-2.15986,0.05,,2D-bulk,JARVIS_layered
JVASP-118086,Sc2NCl2,-2.15799,0.0,,2D-bulk,JARVIS_layered
JVASP-8705,Mg2H2O3,-2.15606,4.068,33.92,2D-bulk,JARVIS_layered
JVASP-29335,Sb3O2F5,-2.13778,3.766,,2D-bulk,JARVIS_layered
JVASP-114508,TaBO4,-2.13057,1.13,,2D-bulk,JARVIS_layered
JVASP-3939,ThBrN,-2.12891,2.647,72.05,2D-bulk,JARVIS_layered
JVASP-120075,ZrCdO2,-2.12816,0.0,,2D-bulk,JARVIS_layered
JVASP-141392,TiNbBi3O9,-2.12548,1.592,,2D-bulk,JARVIS_layered
JVASP-60701,ZnWO4,-2.12105,3.149,,2D-bulk,JARVIS_layered
JVASP-116063,WOF2,-2.11656,0.0,,2D-bulk,JARVIS_layered
JVASP-4020,DySBr,-2.11604,2.771,61.18,2D-bulk,JARVIS_layered
JVASP-11572,BiF4,-2.11516,1.285,,2D-bulk,JARVIS_layered
JVASP-8616,Sr2CoBr2O2,-2.11469,0.0,46.24,intercalated ion,JARVIS_layered
JVASP-109818,LiMn3O4F2,-2.11234,0.233,,2D-bulk,JARVIS_layered
JVASP-29472,FeAs4F18,-2.11089,0.01,,2D-bulk,JARVIS_layered
JVASP-152571,UCuO4,-2.10982,0.0,,2D-bulk,JARVIS_layered
JVASP-3780,LuSBr,-2.10731,2.856,58.96,2D-bulk,JARVIS_layered
JVASP-60684,Ca2CuBr2O2,-2.09866,0.0,43.57,intercalated ion,JARVIS_layered
JVASP-139418,MgNbO2,-2.0959,0.0,,2D-bulk,JARVIS_layered
JVASP-30600,Nb2ReO8,-2.09302,0.028,,2D-bulk,JARVIS_layered
JVASP-143753,AlIO,-2.0925,1.668,,2D-bulk,JARVIS_layered
JVASP-118265,InOF,-2.09209,1.383,,2D-bulk,JARVIS_layered
JVASP-12010,MoO3,-2.08618,1.92,45.94,2D-bulk,JARVIS_layered
JVASP-29399,CoAs4F18,-2.08145,0.48,,2D-bulk,JARVIS_layered
JVASP-134491,TiCdO2,-2.08062,0.0,,2D-bulk,JARVIS_layered
JVASP-113724,TaSbO4,-2.08032,1.371,,2D-bulk,JARVIS_layered
JVASP-11211,AgSb2F12,-2.07728,0.535,,2D-bulk,JARVIS_layered
JVASP-138917,ZrPbF2,-2.07515,0.0,,2D-bulk,JARVIS_layered
JVASP-9218,MgSnO2,-2.0716,1.902,,2D-bulk,JARVIS_layered
JVASP-48423,Li3Co5OF11,-2.07152,0.0,,2D-bulk,JARVIS_layered
JVASP-9349,CrW2O8,-2.07081,0.0,,2D-bulk,JARVIS_layered
JVASP-114941,ZrZnF2,-2.06943,0.0,,2D-bulk,JARVIS_layered
JVASP-109220,MnOF,-2.06853,0.0,,2D-bulk,JARVIS_layered
JVASP-112831,TiMn3O8,-2.06537,0.804,,2D-bulk,JARVIS_layered
JVASP-107789,VPbO3,-2.05776,0.0,,2D-bulk,JARVIS_layered
JVASP-118722,MgTaO2,-2.05771,0.0,,2D-bulk,JARVIS_layered
JVASP-114284,GeF3,-2.05766,0.0,,2D-bulk,JARVIS_layered
JVASP-30290,Mn2F7,-2.05748,0.0,,2D-bulk,JARVIS_layered
JVASP-110320,V2CuO6,-2.05628,0.0,,2D-bulk,JARVIS_layered
JVASP-25591,NbIO2,-2.05528,0.799,,2D-bulk,JARVIS_layered
JVASP-94344,MoO2,-2.05296,0.74,,2D-bulk,JARVIS_layered
JVASP-118308,SiOF,-2.05145,0.0,,2D-bulk,JARVIS_layered
JVASP-116574,V3As2O9,-2.05043,0.679,,2D-bulk,JARVIS_layered
JVASP-137975,AlO,-2.04709,0.0,,2D-bulk,JARVIS_layered
JVASP-142607,Li2Nb2Fe3O10,-2.04626,0.123,,2D-bulk,JARVIS_layered
JVASP-134861,YSF,-2.04581,0.412,,2D-bulk,JARVIS_layered
JVASP-141586,LiFeBO3,-2.04497,0.343,,2D-bulk,JARVIS_layered
JVASP-97433,TlMo3O9,-2.03953,0.747,,2D-bulk,JARVIS_layered
JVASP-30754,TiZnGe2O6,-2.0375,2.074,,2D-bulk,JARVIS_layered
JVASP-30202,LuH3O3,-2.03632,5.01,,2D-bulk,JARVIS_layered
JVASP-30553,MgCr2O5,-2.02903,0.0,,2D-bulk,JARVIS_layered
JVASP-86960,LaZnPO,-2.02568,0.625,,2D-bulk,JARVIS_layered
JVASP-13096,Mg3H4O5,-2.02479,4.096,,2D-bulk,JARVIS_layered
JVASP-155556,AcVPO,-2.02399,0.0,,2D-bulk,JARVIS_layered
JVASP-135105,HfZnO2,-2.02332,0.0,,2D-bulk,JARVIS_layered
JVASP-30187,TmH3O3,-2.02164,4.975,,2D-bulk,JARVIS_layered
JVASP-105471,La2Bi2S4OF,-2.01923,0.0,,2D-bulk,JARVIS_layered
JVASP-12110,HfNCl,-2.01821,2.212,35.23,2D-bulk,JARVIS_layered
JVASP-153291,P2Pb3O8,-2.01426,3.463,,2D-bulk,JARVIS_layered
JVASP-30715,SnW2O8,-2.01409,0.981,,2D-bulk,JARVIS_layered
JVASP-29519,VPbClO3,-2.01368,2.0,124.85,2D-bulk,JARVIS_layered
JVASP-30761,MgGe2WO6,-2.01068,0.0,,2D-bulk,JARVIS_layered
JVASP-60626,P2O5,-2.00572,5.397,,2D-bulk,JARVIS_layered
JVASP-117706,ZrAgF2,-2.0047,0.0,,2D-bulk,JARVIS_layered
JVASP-30634,W3O8,-2.00268,0.102,,2D-bulk,JARVIS_layered
JVASP-114513,TiBO4,-1.99641,0.0,,2D-bulk,JARVIS_layered
JVASP-120103,YCl2O,-1.99325,0.0,,2D-bulk,JARVIS_layered
JVASP-9913,SbF5,-1.99254,1.713,,2D-bulk,JARVIS_layered
JVASP-30059,CrPO4,-1.99218,1.429,91.04,2D-bulk,JARVIS_layered
JVASP-30527,MgCr4O9,-1.99199,0.014,,2D-bulk,JARVIS_layered
JVASP-30329,CrPO5,-1.99143,0.059,,2D-bulk,JARVIS_layered
JVASP-101474,LiMn3O5F,-1.99138,0.0,,2D-bulk,JARVIS_layered
JVASP-12050,MgRe2O8,-1.98767,3.903,70.61,2D-bulk,JARVIS_layered
JVASP-89918,V2H2O5,-1.98747,0.0,,2D-bulk,JARVIS_layered
JVASP-52326,BiOF,-1.98651,3.203,,2D-bulk,JARVIS_layered
JVASP-3915,NdBr3,-1.98489,2.654,90.04,2D-bulk,JARVIS_layered
JVASP-22660,MgCl2,-1.98404,5.626,,2D-bulk,JARVIS_layered
JVASP-146264,Li8FeO6,-1.98378,0.594,,2D-bulk,JARVIS_layered
JVASP-29357,ZrNCl,-1.98354,1.765,,2D-bulk,JARVIS_layered
JVASP-9408,SbPO4,-1.98323,4.065,104.61,2D-bulk,JARVIS_layered
JVASP-30322,MnP2O7,-1.97567,0.677,,2D-bulk,JARVIS_layered
JVASP-114410,ZrZnO2,-1.97328,0.0,,2D-bulk,JARVIS_layered
JVASP-56556,BaThBr6,-1.9717,2.852,48.54,intercalated ion,JARVIS_layered
JVASP-30212,SbOF3,-1.96944,2.535,,2D-bulk,JARVIS_layered
JVASP-3918,SmBr3,-1.96929,2.691,87.72,2D-bulk,JARVIS_layered
JVASP-30671,AlSbO3,-1.96864,1.299,,2D-bulk,JARVIS_layered
JVASP-50826,BSbO3,-1.9648,2.899,,2D-bulk,JARVIS_layered
JVASP-150681,TiZnBi2O6,-1.96432,1.226,,2D-bulk,JARVIS_layered
JVASP-12164,YBr3,-1.96405,3.59,77.18,2D-bulk,JARVIS_layered
JVASP-30768,Mo2O5,-1.96061,0.611,,2D-bulk,JARVIS_layered
JVASP-119352,VGeO3,-1.96011,0.0,,2D-bulk,JARVIS_layered
JVASP-134547,ScCl2O,-1.95215,0.0,,2D-bulk,JARVIS_layered
JVASP-153665,VBiPbO5,-1.95193,2.74,,2D-bulk,JARVIS_layered
JVASP-155554,PmCrPO,-1.94969,0.0,,2D-bulk,JARVIS_layered
JVASP-49567,MgMo6O16,-1.94616,0.0,,2D-bulk,JARVIS_layered
JVASP-139274,LaBr3,-1.94552,2.773,,2D-bulk,JARVIS_layered
JVASP-29522,V2Te2O7F2,-1.9449,0.655,,2D-bulk,JARVIS_layered
JVASP-30085,Mg5H8O9,-1.94336,4.094,,2D-bulk,JARVIS_layered
JVASP-11418,CuSiO3,-1.93714,0.247,,2D-bulk,JARVIS_layered
JVASP-155552,AcCrPO,-1.93592,0.0,,2D-bulk,JARVIS_layered
JVASP-115096,AlGaO2,-1.93558,0.0,,2D-bulk,JARVIS_layered
JVASP-139270,LaBr2,-1.93178,0.0,,2D-bulk,JARVIS_layered
JVASP-3942,ThIN,-1.92817,2.824,54.0,2D-bulk,JARVIS_layered
JVASP-152826,Fe2Si2SbHO9,-1.9264,0.244,,2D-bulk,JARVIS_layered
