material_id,formula,formation_energy_per_atom,band_gap,source
JVASP-50635,Y2Th5O13,-4.03514,2.718,JARVIS_rare_earth
JVASP-105480,HoPaO4,-4.02429,2.83,JARVIS_rare_earth
JVASP-111069,DyPaO4,-4.01855,2.811,JARVIS_rare_earth
JVASP-107784,NaCaLaF6,-4.01408,6.581,JARVIS_rare_earth
JVASP-142135,TbPaO4,-4.01267,2.853,JARVIS_rare_earth
JVASP-106089,ErPaO4,-4.01057,3.088,JARVIS_rare_earth
JVASP-2460,NdOF,-4.00709,4.505,JARVIS_rare_earth
JVASP-57161,LiLuF4,-3.99954,8.175,JARVIS_rare_earth
JVASP-88061,PrZr2F11,-3.99811,5.991,JARVIS_rare_earth
JVASP-122107,NdZr3F15,-3.99016,6.073,JARVIS_rare_earth
JVASP-46076,PrOF,-3.97763,4.419,JARVIS_rare_earth
JVASP-34910,PrZr3F15,-3.97026,6.069,JARVIS_rare_earth
JVASP-119460,KLaF4,-3.9692,6.315,JARVIS_rare_earth
JVASP-53137,NaHo2F7,-3.96806,6.714,JARVIS_rare_earth
JVASP-145412,Dy3SOF5,-3.96725,3.712,JARVIS_rare_earth
JVASP-101695,SmPaO4,-3.96581,2.691,JARVIS_rare_earth
JVASP-133378,CeZr2F11,-3.96534,0.0,JARVIS_rare_earth
JVASP-20150,Lu2O3,-3.96286,4.224,JARVIS_rare_earth
JVASP-112534,RbLaF4,-3.95342,6.25,JARVIS_rare_earth
JVASP-141211,NdPaO4,-3.93502,2.834,JARVIS_rare_earth
JVASP-44464,YTh4O10,-3.93376,0.0,JARVIS_rare_earth
JVASP-142387,Sm3SOF5,-3.9329,3.592,JARVIS_rare_earth
JVASP-20193,Tm2O3,-3.92442,4.194,JARVIS_rare_earth
JVASP-93414,CeThO4,-3.92345,1.931,JARVIS_rare_earth
JVASP-52494,SmTh4O10,-3.92092,0.0,JARVIS_rare_earth
JVASP-22958,KSmF4,-3.92024,7.55,JARVIS_rare_earth
JVASP-50001,CeOF,-3.91876,0.0,JARVIS_rare_earth
JVASP-142398,Nd3SOF5,-3.91165,3.526,JARVIS_rare_earth
JVASP-52688,CePaO4,-3.91081,0.0,JARVIS_rare_earth
JVASP-111347,NaHoF4,-3.91028,6.942,JARVIS_rare_earth
JVASP-106752,PrPaO4,-3.90767,2.57,JARVIS_rare_earth
JVASP-116669,NaSmF4,-3.90522,7.355,JARVIS_rare_earth
JVASP-53395,NaErF4,-3.90243,7.139,JARVIS_rare_earth
JVASP-141349,RbNdF4,-3.90026,7.055,JARVIS_rare_earth
JVASP-21570,YbLiAlF6,-3.88989,8.122,JARVIS_rare_earth
JVASP-20325,Er2O3,-3.88981,4.138,JARVIS_rare_earth
JVASP-12305,Lu6UO12,-3.88292,1.956,JARVIS_rare_earth
JVASP-101221,Ce2ThO6,-3.87607,1.825,JARVIS_rare_earth
JVASP-113073,NaPrF4,-3.87473,7.276,JARVIS_rare_earth
JVASP-141985,NaNdF4,-3.87097,7.535,JARVIS_rare_earth
JVASP-21452,YbRbF3,-3.86257,6.939,JARVIS_rare_earth
JVASP-50899,Ce3Th2O9,-3.8618,0.012,JARVIS_rare_earth
JVASP-20339,Ho2O3,-3.85992,4.094,JARVIS_rare_earth
JVASP-49172,Ho3ScO6,-3.85426,4.599,JARVIS_rare_earth
JVASP-140305,RbTmBeF6,-3.84913,7.662,JARVIS_rare_earth
JVASP-50753,Ce2Th2O7,-3.84881,0.0,JARVIS_rare_earth
JVASP-95719,YbBeF4,-3.84765,6.772,JARVIS_rare_earth
JVASP-43521,LuScO3,-3.84731,4.56,JARVIS_rare_earth
JVASP-150350,K2ThF6,-3.83937,6.532,JARVIS_rare_earth
JVASP-42160,YbHfO3,-3.83767,4.631,JARVIS_rare_earth
JVASP-53040,Nd2Th2O7,-3.83728,2.727,JARVIS_rare_earth
JVASP-147301,RbDyBeF6,-3.83648,7.602,JARVIS_rare_earth
JVASP-133370,ErScO3,-3.83515,4.504,JARVIS_rare_earth
JVASP-50972,YLuO3,-3.83062,3.575,JARVIS_rare_earth
JVASP-155001,LaTmO3,-3.83037,4.434,JARVIS_rare_earth
JVASP-59141,HoScO3,-3.83003,4.48,JARVIS_rare_earth
JVASP-143699,RbCeF4,-3.82902,0.0,JARVIS_rare_earth
JVASP-19060,Dy2Hf2O7,-3.82745,3.312,JARVIS_rare_earth
JVASP-119174,La3YSc4O12,-3.82714,4.007,JARVIS_rare_earth
JVASP-24595,Y6UO12,-3.82697,1.975,JARVIS_rare_earth
JVASP-34314,Ho2Hf2O7,-3.8261,3.203,JARVIS_rare_earth
JVASP-1142,DyScO3,-3.8247,4.461,JARVIS_rare_earth
JVASP-34740,Er2Hf2O7,-3.82412,3.089,JARVIS_rare_earth
JVASP-59139,TbScO3,-3.81828,4.442,JARVIS_rare_earth
JVASP-50882,YTmO3,-3.81822,4.958,JARVIS_rare_earth
JVASP-93473,ThUO4,-3.81574,0.0,JARVIS_rare_earth
JVASP-24426,KHoBeF6,-3.81531,7.767,JARVIS_rare_earth
JVASP-34497,Dy2O3,-3.81285,4.084,JARVIS_rare_earth
JVASP-52485,DyTmO3,-3.80995,4.8,JARVIS_rare_earth
JVASP-59258,Sm2Hf2O7,-3.80734,3.81,JARVIS_rare_earth
JVASP-20116,Tb2O3,-3.80367,4.03,JARVIS_rare_earth
JVASP-21974,Rb2ThF6,-3.80266,6.754,JARVIS_rare_earth
JVASP-100557,KCeF4,-3.79864,0.0,JARVIS_rare_earth
JVASP-50040,YErO3,-3.79278,4.89,JARVIS_rare_earth
JVASP-46022,Lu3AlO6,-3.79093,4.54,JARVIS_rare_earth
JVASP-25797,KNaThF6,-3.78976,7.204,JARVIS_rare_earth
JVASP-121485,Nd2Hf2O7,-3.7886,4.152,JARVIS_rare_earth
JVASP-59138,SmScO3,-3.78028,4.372,JARVIS_rare_earth
JVASP-52320,Ce4ThO9,-3.77996,0.0,JARVIS_rare_earth
JVASP-50353,TbErO3,-3.77912,4.774,JARVIS_rare_earth
JVASP-144671,La3NdZr4O14,-3.77876,3.871,JARVIS_rare_earth
JVASP-88447,La2Zr2O7,-3.77681,4.03,JARVIS_rare_earth
JVASP-43493,SmTmO3,-3.77063,4.926,JARVIS_rare_earth
JVASP-55559,PrLuO3,-3.76722,4.998,JARVIS_rare_earth
JVASP-59137,NdScO3,-3.75508,4.311,JARVIS_rare_earth
JVASP-53185,Y3U2O10,-3.75072,0.109,JARVIS_rare_earth
JVASP-21037,Na2ThF6,-3.74926,7.052,JARVIS_rare_earth
JVASP-109395,LaUO4,-3.7489,0.0,JARVIS_rare_earth
JVASP-101220,Ce2UO6,-3.74711,0.0,JARVIS_rare_earth
JVASP-50958,SmErO3,-3.74555,4.865,JARVIS_rare_earth
JVASP-119111,CeLuO3,-3.74392,0.0,JARVIS_rare_earth
JVASP-49756,Dy2Zr2O7,-3.74288,2.848,JARVIS_rare_earth
JVASP-91378,CaLu2O4,-3.74133,3.932,JARVIS_rare_earth
JVASP-50358,Ho2Zr2O7,-3.74094,2.721,JARVIS_rare_earth
JVASP-8657,YUO4,-3.74084,0.0,JARVIS_rare_earth
JVASP-50506,Er2Zr2O7,-3.7385,2.636,JARVIS_rare_earth
JVASP-50856,Tm2Zr2O7,-3.73836,2.496,JARVIS_rare_earth
JVASP-119153,Nd3HoZr4O14,-3.72797,3.327,JARVIS_rare_earth
JVASP-108945,CeUO4,-3.72753,0.0,JARVIS_rare_earth
JVASP-59641,U2F9,-3.72659,0.0,JARVIS_rare_earth
JVASP-21220,Sm2Zr2O7,-3.72591,3.302,JARVIS_rare_earth
JVASP-44550,SrLu2O4,-3.72373,3.936,JARVIS_rare_earth
JVASP-85751,Eu2O3,-3.72192,3.913,JARVIS_rare_earth
JVASP-154699,La2O3,-3.71901,3.876,JARVIS_rare_earth
JVASP-105347,YU2O6,-3.71591,0.0,JARVIS_rare_earth
JVASP-22891,K2ErF5,-3.71152,7.256,JARVIS_rare_earth
JVASP-147019,Eu2Al3O8,-3.70958,0.261,JARVIS_rare_earth
JVASP-46393,Tm3TaO7,-3.70787,3.443,JARVIS_rare_earth
JVASP-50016,Ce3Y4O12,-3.70519,1.681,JARVIS_rare_earth
JVASP-50479,SmDyO3,-3.70103,4.728,JARVIS_rare_earth
JVASP-147254,CaTm2O4,-3.70097,4.15,JARVIS_rare_earth
JVASP-50425,Er3TaO7,-3.69818,3.551,JARVIS_rare_earth
JVASP-24318,Pr2Zr2O7,-3.69754,3.785,JARVIS_rare_earth
JVASP-50436,Ce4DyO9,-3.69511,0.0,JARVIS_rare_earth
JVASP-86377,Ce7O12,-3.69112,0.0,JARVIS_rare_earth
JVASP-97836,Ho3TaO7,-3.69048,3.445,JARVIS_rare_earth
JVASP-146423,ThZr2U2O10,-3.68891,0.0,JARVIS_rare_earth
JVASP-133217,La3ScO6,-3.68873,4.022,JARVIS_rare_earth
JVASP-147255,Ce2Y2O7,-3.68766,1.769,JARVIS_rare_earth
JVASP-52537,CeHfO4,-3.68705,2.051,JARVIS_rare_earth
JVASP-1133,CeO2,-3.68532,2.211,JARVIS_rare_earth
JVASP-147202,ThU4O10,-3.68373,0.0,JARVIS_rare_earth
JVASP-145413,Dy2YTaO7,-3.68344,3.439,JARVIS_rare_earth
JVASP-29952,Ce2Dy2O7,-3.68282,1.875,JARVIS_rare_earth
JVASP-104967,CeU2O6,-3.68258,0.0,JARVIS_rare_earth
JVASP-52530,Lu3TaO7,-3.68177,3.443,JARVIS_rare_earth
JVASP-18449,Ce2SeF4,-3.67891,0.0,JARVIS_rare_earth
JVASP-51349,LiCaUF8,-3.67798,0.375,JARVIS_rare_earth
JVASP-50375,TbSmO3,-3.6777,4.661,JARVIS_rare_earth
JVASP-105537,Ce2ZrO6,-3.67424,1.712,JARVIS_rare_earth
JVASP-50234,Dy3TaO7,-3.67305,3.462,JARVIS_rare_earth
JVASP-44669,Lu6WO12,-3.67252,2.897,JARVIS_rare_earth
JVASP-20291,Sm2O3,-3.67174,3.876,JARVIS_rare_earth
JVASP-50201,LuAlO3,-3.67057,6.275,JARVIS_rare_earth
JVASP-57590,Ce2Zr2O7,-3.67013,0.0,JARVIS_rare_earth
JVASP-144441,Tb3TaO7,-3.66835,3.454,JARVIS_rare_earth
JVASP-44573,Ce2U3O10,-3.66788,0.0,JARVIS_rare_earth
JVASP-145136,Sm6U3O17,-3.66743,0.093,JARVIS_rare_earth
JVASP-140395,Nd4Zr3TiO14,-3.66641,3.069,JARVIS_rare_earth
JVASP-50904,Lu2TiO5,-3.66601,3.098,JARVIS_rare_earth
JVASP-22904,K2SmF5,-3.66322,7.138,JARVIS_rare_earth
JVASP-50426,TmAlO3,-3.66099,6.247,JARVIS_rare_earth
JVASP-35141,CeZr7O16,-3.6596,2.472,JARVIS_rare_earth
JVASP-142458,CeZr3O8,-3.65935,1.912,JARVIS_rare_earth
JVASP-87076,TbBaF6,-3.65495,0.0,JARVIS_rare_earth
JVASP-35135,Ce3ZrO8,-3.65382,2.08,JARVIS_rare_earth
JVASP-122028,La3AlO6,-3.65309,4.191,JARVIS_rare_earth
JVASP-35134,Ce3Zr5O16,-3.65029,2.058,JARVIS_rare_earth
JVASP-46372,Tm6WO12,-3.64968,2.869,JARVIS_rare_earth
JVASP-35136,Ce5Zr3O16,-3.64917,2.068,JARVIS_rare_earth
JVASP-50481,ErAlO3,-3.64914,6.123,JARVIS_rare_earth
JVASP-35137,CeZrO4,-3.64898,2.076,JARVIS_rare_earth
JVASP-25647,YbClF,-3.64741,6.035,JARVIS_rare_earth
JVASP-57774,HoAlO3,-3.64118,5.981,JARVIS_rare_earth
JVASP-147341,CeU4O10,-3.64109,0.0,JARVIS_rare_earth
JVASP-52488,BaLu2O4,-3.64075,3.321,JARVIS_rare_earth
JVASP-112952,BaThO3,-3.64048,4.113,JARVIS_rare_earth
JVASP-57498,SrHo2O4,-3.63987,3.784,JARVIS_rare_earth
JVASP-50388,Sm4U2O11,-3.63974,0.163,JARVIS_rare_earth
JVASP-50952,Tm2TiO5,-3.63748,3.087,JARVIS_rare_earth
JVASP-150893,LaAlO3,-3.6357,3.849,JARVIS_rare_earth
JVASP-154943,La4Ti3O12,-3.63401,2.916,JARVIS_rare_earth
JVASP-50524,DyAlO3,-3.63345,5.861,JARVIS_rare_earth
JVASP-151510,La3TaO7,-3.62955,3.547,JARVIS_rare_earth
JVASP-59633,TbCaF6,-3.62824,0.0,JARVIS_rare_earth
JVASP-57764,TbAlO3,-3.62484,5.696,JARVIS_rare_earth
JVASP-93253,LaScO3,-3.62342,2.789,JARVIS_rare_earth
JVASP-2151,UF5,-3.62056,0.845,JARVIS_rare_earth
JVASP-49859,BaTm2O4,-3.61682,3.301,JARVIS_rare_earth
JVASP-22960,Tm2SiO5,-3.6166,4.892,JARVIS_rare_earth
JVASP-1291,YbO,-3.61377,3.581,JARVIS_rare_earth
JVASP-50894,Ho2TiO5,-3.60865,2.952,JARVIS_rare_earth
JVASP-52329,CeU5O12,-3.60684,0.0,JARVIS_rare_earth
JVASP-50971,YbTiO3,-3.60654,2.364,JARVIS_rare_earth
JVASP-119702,EuVO4,-3.60539,0.0,JARVIS_rare_earth
JVASP-59268,Tm2Ti2O7,-3.60373,2.649,JARVIS_rare_earth
JVASP-106639,Ba2GdUO6,-3.60274,0.924,JARVIS_rare_earth
JVASP-19032,Lu2Ti2O7,-3.60212,2.521,JARVIS_rare_earth
JVASP-52550,Sm3TaO7,-3.59408,3.492,JARVIS_rare_earth
JVASP-50038,Dy2TiO5,-3.59347,2.946,JARVIS_rare_earth
JVASP-59250,Ho2Ti2O7,-3.59314,2.74,JARVIS_rare_earth
JVASP-144181,LaY3Ti4O14,-3.59243,2.778,JARVIS_rare_earth
JVASP-52464,Ce2Sm2O7,-3.58925,2.176,JARVIS_rare_earth
JVASP-59253,Dy2Ti2O7,-3.58834,2.747,JARVIS_rare_earth
JVASP-113024,Er2MgTiO6,-3.58759,3.207,JARVIS_rare_earth
JVASP-11758,Ho6WO12,-3.58754,0.472,JARVIS_rare_earth
JVASP-142773,SrLa4TiAl4O15,-3.5853,2.602,JARVIS_rare_earth
JVASP-49949,Ce2Nd2O7,-3.58436,2.253,JARVIS_rare_earth
JVASP-20113,Nd2O3,-3.58396,3.841,JARVIS_rare_earth
JVASP-111668,SmAlO3,-3.58284,4.809,JARVIS_rare_earth
JVASP-50015,Tb2CaO4,-3.58277,4.158,JARVIS_rare_earth
JVASP-121530,Sm3B2O6F3,-3.58266,5.693,JARVIS_rare_earth
JVASP-117354,Ho2MgTiO6,-3.5818,3.21,JARVIS_rare_earth
JVASP-21234,Tb2Ti2O7,-3.58174,2.754,JARVIS_rare_earth
JVASP-88967,Ho3Al5O12,-3.57957,4.728,JARVIS_rare_earth
JVASP-118587,LaF2,-3.57949,0.0,JARVIS_rare_earth
JVASP-111315,Ba2LuUO6,-3.57944,0.967,JARVIS_rare_earth
JVASP-152637,UO2,-3.57872,0.0,JARVIS_rare_earth
JVASP-98509,La2SiO5,-3.57595,4.573,JARVIS_rare_earth
JVASP-142324,Dy2MgTiO6,-3.5753,3.216,JARVIS_rare_earth
JVASP-141441,LaPr3Al4O12,-3.57469,3.348,JARVIS_rare_earth
JVASP-87885,BaHo2O4,-3.5746,3.278,JARVIS_rare_earth
JVASP-120490,ZrU4O10,-3.56915,0.0,JARVIS_rare_earth
JVASP-140300,Tb2MgTiO6,-3.56784,3.224,JARVIS_rare_earth
JVASP-21945,Cs2NaErF6,-3.56378,7.392,JARVIS_rare_earth
JVASP-22023,Tb3Al5O12,-3.56278,4.539,JARVIS_rare_earth
JVASP-9741,ThSiO4,-3.56099,5.293,JARVIS_rare_earth
JVASP-108714,ZrUO4,-3.55998,0.0,JARVIS_rare_earth
JVASP-9745,NdAlO3,-3.55967,4.37,JARVIS_rare_earth
JVASP-95380,Tb3KF12,-3.55923,0.0,JARVIS_rare_earth
JVASP-119452,SrHo2Al2O7,-3.5589,4.143,JARVIS_rare_earth
JVASP-106665,Ba2ScUO6,-3.55709,0.902,JARVIS_rare_earth
JVASP-9679,ThTi2O6,-3.55665,3.143,JARVIS_rare_earth
JVASP-148177,Nd3TaO7,-3.55443,3.39,JARVIS_rare_earth
JVASP-144192,Ce4SmO10,-3.55297,0.0,JARVIS_rare_earth
JVASP-103488,LaCeAl2O6,-3.55253,0.0,JARVIS_rare_earth
JVASP-145932,Ca2GdTaO6,-3.55079,3.503,JARVIS_rare_earth
JVASP-99367,La2MgTiO6,-3.54837,3.191,JARVIS_rare_earth
JVASP-137658,K3ErF6,-3.54713,6.624,JARVIS_rare_earth
JVASP-9412,PrAlO3,-3.54643,4.142,JARVIS_rare_earth
JVASP-49804,Tb3NbO7,-3.54602,2.624,JARVIS_rare_earth
JVASP-151440,Rb2NaHoF6,-3.54601,6.714,JARVIS_rare_earth
JVASP-15029,Ce2O3,-3.54531,0.0,JARVIS_rare_earth
JVASP-101540,BaEuO3,-3.54525,0.0,JARVIS_rare_earth
JVASP-21944,Rb2NaErF6,-3.54077,6.991,JARVIS_rare_earth
JVASP-7982,Pr2O3,-3.53938,3.895,JARVIS_rare_earth
JVASP-19040,Sm2Ti2O7,-3.53688,2.767,JARVIS_rare_earth
JVASP-4492,LuTaO4,-3.53591,4.119,JARVIS_rare_earth
JVASP-150480,K2UF6,-3.53373,0.251,JARVIS_rare_earth
JVASP-88019,EuF2,-3.53085,0.0,JARVIS_rare_earth
JVASP-147042,TbCe3O8,-3.53026,0.0,JARVIS_rare_earth
JVASP-103351,Ba2ErUO6,-3.52954,0.964,JARVIS_rare_earth
JVASP-9411,ErTaO4,-3.52729,4.059,JARVIS_rare_earth
JVASP-106990,UF3,-3.52568,0.339,JARVIS_rare_earth
JVASP-102604,Ba2DyUO6,-3.52532,0.944,JARVIS_rare_earth
JVASP-121547,K3HoF6,-3.52363,6.808,JARVIS_rare_earth
JVASP-100418,CeNdAl2O6,-3.52345,0.0,JARVIS_rare_earth
JVASP-144149,TbK3F6,-3.52312,6.596,JARVIS_rare_earth
JVASP-9750,HoTaO4,-3.52265,4.054,JARVIS_rare_earth
JVASP-113026,Er3OF10,-3.52232,0.163,JARVIS_rare_earth
JVASP-97357,Ba2EuNbO6,-3.52231,0.0,JARVIS_rare_earth
JVASP-97984,TbTaO4,-3.52032,4.03,JARVIS_rare_earth
JVASP-10156,DyTaO4,-3.51809,4.052,JARVIS_rare_earth
JVASP-117199,NaEuTi2O6,-3.5178,0.0,JARVIS_rare_earth
JVASP-99864,Ba2HoUO6,-3.51732,0.958,JARVIS_rare_earth
JVASP-49216,Pr3TaO7,-3.51691,3.412,JARVIS_rare_earth
JVASP-142359,SrSmScO4,-3.51428,3.791,JARVIS_rare_earth
JVASP-103664,YbPaO4,-3.50879,0.0,JARVIS_rare_earth
JVASP-50974,LuTiO3,-3.50591,0.0,JARVIS_rare_earth
JVASP-146230,LiSm4Tm4O12,-3.50539,0.0,JARVIS_rare_earth
JVASP-141403,SrPrScO4,-3.50405,3.735,JARVIS_rare_earth
JVASP-13976,LiSmAlF6,-3.50227,0.0,JARVIS_rare_earth
JVASP-144759,La6WO12,-3.50082,0.519,JARVIS_rare_earth
JVASP-101424,Na2CeF6,-3.50059,2.474,JARVIS_rare_earth
JVASP-34513,Nd2Ti2O7,-3.49965,2.766,JARVIS_rare_earth
JVASP-97900,Ba2U2O7,-3.49911,0.468,JARVIS_rare_earth
JVASP-152218,LaTaO4,-3.49638,3.322,JARVIS_rare_earth
JVASP-86435,CaUO4,-3.49601,2.339,JARVIS_rare_earth
JVASP-116068,YOF,-4.15567,5.08,JARVIS_complex_oxide
JVASP-112461,YPaO4,-4.02623,2.831,JARVIS_complex_oxide
JVASP-31168,AcOF,-4.02178,4.368,JARVIS_complex_oxide
JVASP-9621,ScOF,-3.99177,4.446,JARVIS_complex_oxide
JVASP-111759,Y3SOF5,-3.96076,3.663,JARVIS_complex_oxide
JVASP-57132,Ba2TiOF6,-3.86524,3.802,JARVIS_complex_oxide
JVASP-99615,ScPaO4,-3.85514,3.116,JARVIS_complex_oxide
JVASP-57163,Y2Hf2O7,-3.83477,3.451,JARVIS_complex_oxide
JVASP-50056,YScO3,-3.83099,4.433,JARVIS_complex_oxide
JVASP-143764,Y4Zr3O12,-3.82977,4.176,JARVIS_complex_oxide
JVASP-50859,Y2HfO5,-3.80619,4.667,JARVIS_complex_oxide
JVASP-49778,Ba4OF6,-3.78653,3.534,JARVIS_complex_oxide
JVASP-57822,Y2Zr2O7,-3.75002,2.965,JARVIS_complex_oxide
JVASP-50625,Sr2Hf7O16,-3.74844,4.52,JARVIS_complex_oxide
JVASP-49989,Y3AlO6,-3.73299,4.671,JARVIS_complex_oxide
JVASP-42355,HfZrO4,-3.71856,4.243,JARVIS_complex_oxide
JVASP-103225,AcScO3,-3.71469,3.56,JARVIS_complex_oxide
JVASP-22929,Y2TiO5,-3.70052,3.299,JARVIS_complex_oxide
JVASP-116543,Y3TaO7,-3.69553,3.477,JARVIS_complex_oxide
JVASP-50399,Ba2Hf7O16,-3.69459,4.146,JARVIS_complex_oxide
JVASP-61588,Y3Sc2Al3O12,-3.69287,4.461,JARVIS_complex_oxide
JVASP-143790,SrCa3Hf4O12,-3.68025,4.476,JARVIS_complex_oxide
JVASP-19093,CaSc2O4,-3.67893,3.466,JARVIS_complex_oxide
JVASP-49953,CaHfO3,-3.67873,4.568,JARVIS_complex_oxide
JVASP-144170,Sr3CaHf4O12,-3.67848,4.313,JARVIS_complex_oxide
JVASP-19043,SrHfO3,-3.67137,4.281,JARVIS_complex_oxide
JVASP-106844,BaScO2F,-3.66998,3.035,JARVIS_complex_oxide
JVASP-133912,BaHfO3,-3.66295,3.611,JARVIS_complex_oxide
JVASP-106842,BaSrHf2O6,-3.6602,3.933,JARVIS_complex_oxide
JVASP-121639,Ba4SrHf5O15,-3.64529,3.665,JARVIS_complex_oxide
JVASP-50829,CaY2O4,-3.63539,4.255,JARVIS_complex_oxide
JVASP-57737,YAlO3,-3.63503,5.704,JARVIS_complex_oxide
JVASP-50727,YZr4O9,-3.61032,0.0,JARVIS_complex_oxide
JVASP-50449,SrSc2O4,-3.60365,2.787,JARVIS_complex_oxide
JVASP-52306,Sc2TiO5,-3.60091,3.15,JARVIS_complex_oxide
JVASP-50839,YZr5O11,-3.60063,0.68,JARVIS_complex_oxide
JVASP-20889,Y2SiO5,-3.60006,5.023,JARVIS_complex_oxide
JVASP-154904,Y6WO12,-3.59891,0.479,JARVIS_complex_oxide
JVASP-49573,Y2Ti2O7,-3.59708,2.757,JARVIS_complex_oxide
JVASP-151630,SrZrO3,-3.59332,3.655,JARVIS_complex_oxide
JVASP-52175,PuOF,-3.59279,0.0,JARVIS_complex_oxide
JVASP-103222,AcAlO3,-3.59055,4.319,JARVIS_complex_oxide
JVASP-13829,CaZrO3,-3.59023,4.048,JARVIS_complex_oxide
JVASP-57561,Y3BrO4,-3.58583,4.489,JARVIS_complex_oxide
JVASP-143671,Y2MgTiO6,-3.58191,3.213,JARVIS_complex_oxide
JVASP-132881,BaY2Si2O7F2,-3.58012,5.319,JARVIS_complex_oxide
JVASP-115592,BaZrO3,-3.57885,3.196,JARVIS_complex_oxide
JVASP-19083,BaY2O4,-3.57585,3.324,JARVIS_complex_oxide
JVASP-95707,Ba3ScCO3F7,-3.55786,4.943,JARVIS_complex_oxide
JVASP-52473,Ca2HfO4,-3.55441,3.901,JARVIS_complex_oxide
JVASP-21226,ScAlO3,-3.55228,4.586,JARVIS_complex_oxide
JVASP-52552,Sr3Hf2O7,-3.5498,4.346,JARVIS_complex_oxide
JVASP-106738,Sr2HfTiO6,-3.54669,2.651,JARVIS_complex_oxide
JVASP-143873,Ba4CaZr5O15,-3.54416,3.273,JARVIS_complex_oxide
JVASP-142765,YZr4O10,-3.53383,0.0,JARVIS_complex_oxide
JVASP-111780,Sr4Zr3TiO12,-3.52807,2.656,JARVIS_complex_oxide
JVASP-121755,Zr9VO20,-3.52774,0.271,JARVIS_complex_oxide
JVASP-9713,YTaO4,-3.52208,4.054,JARVIS_complex_oxide
JVASP-140890,Ba4Zr3TiO12,-3.51663,1.778,JARVIS_complex_oxide
JVASP-50923,Ba3Hf2O7,-3.51322,3.685,JARVIS_complex_oxide
JVASP-52258,HfTiO4,-3.50611,2.872,JARVIS_complex_oxide
JVASP-22886,Zr3Tl2OF12,-3.50407,4.471,JARVIS_complex_oxide
JVASP-146673,Ca2ScTaO6,-3.49878,3.777,JARVIS_complex_oxide
JVASP-154902,YTiO3,-3.4976,0.0,JARVIS_complex_oxide
JVASP-145931,CaY3Ti4O12,-3.49704,0.0,JARVIS_complex_oxide
